1/1/2025,Rent,-2008.17,Checking,,Debit,TXN1001
1/3/2025,Office Depot,-157.15,Credit Card,,Debit,TXN1016
1/4/2025,Uber,-87.86,Credit Card,,Debit,TXN1012
1/6/2025,Client Payment,4900.14,Checking,,Credit,TXN1010
1/7/2025,Stripe Payout,5881.31,Checking,,Credit,TXN1007
1/8/2025,Payroll,-3158.45,Checking,,Debit,TXN1002
1/8/2025,Stripe Payout,4680.53,Checking,,Credit,TXN1006
1/9/2025,Uber,-83.03,Credit Card,,Debit,TXN1011
1/12/2025,Payroll,-2844.01,Checking,,Debit,TXN1013
1/14/2025,Stripe Payout,1981.16,Checking,,Credit,TXN1005
1/14/2025,Client Payment,2368.34,Checking,,Credit,TXN1008
1/18/2025,Bank Fee,-40.88,Checking,,Debit,TXN1015
1/19/2025,Uber,-80.19,Credit Card,,Debit,TXN1017
1/24/2025,Stripe Payout,3504.45,Checking,,Credit,TXN1003
1/24/2025,Stripe Payout,6885.42,Checking,,Credit,TXN1004
1/26/2025,Client Payment,5807.29,Checking,,Credit,TXN1009
1/26/2025,Google Ads,-1158.72,Checking,,Debit,TXN1014
2/4/2025,Stripe Payout,3966.72,Checking,,Credit,TXN1021
2/5/2025,Google Ads,-965.7,Checking,,Debit,TXN1033
2/6/2025,Client Payment,4030.94,Checking,,Credit,TXN1025
2/7/2025,Stripe Payout,5620,Checking,,Credit,TXN1023
2/7/2025,Uber,-44.53,Credit Card,,Debit,TXN1031
2/8/2025,Slack Subscription,-58.38,Checking,,Debit,TXN1027
2/8/2025,Rent,-1906.92,Checking,,Debit,TXN1028
2/10/2025,Payroll,-3672.1,Checking,,Debit,TXN1019
2/13/2025,Uber,-74.38,Credit Card,,Debit,TXN1029
2/15/2025,Stripe Payout,3962.9,Checking,,Credit,TXN1026
2/19/2025,Software Subscription,-61.69,Checking,,Debit,TXN1030
2/21/2025,Office Depot,-184.64,Credit Card,,Debit,TXN1032
2/22/2025,Rent,-2179.13,Checking,,Debit,TXN1018
2/22/2025,Client Payment,4634.59,Checking,,Credit,TXN1024
2/27/2025,Stripe Payout,3879.54,Checking,,Credit,TXN1022
2/28/2025,Stripe Payout,6933.5,Checking,,Credit,TXN1020
3/2/2025,Stripe Payout,6708.29,Checking,,Credit,TXN1038
3/3/2025,Stripe Payout,3993.17,Checking,,Credit,TXN1040
3/4/2025,Client Payment,4813.06,Checking,,Credit,TXN1043
3/4/2025,Uber,-72.4,Credit Card,,Debit,TXN1045
3/5/2025,Stripe Payout,4704.3,Checking,,Credit,TXN1037
3/5/2025,Software Subscription,-129.52,Checking,,Debit,TXN1050
3/6/2025,Stripe Payout,6314.85,Checking,,Credit,TXN1039
3/9/2025,Rent,-2031.59,Checking,,Debit,TXN1034
3/13/2025,Stripe Payout,6540.2,Checking,,Credit,TXN1036
3/14/2025,Payroll,-3152.99,Checking,,Debit,TXN1035
3/15/2025,Client Payment,4004.31,Checking,,Credit,TXN1041
3/15/2025,Amazon Web Services,-259.38,Checking,,Debit,TXN1046
3/17/2025,Google Ads,-476.14,Checking,,Debit,TXN1047
3/25/2025,Slack Subscription,-95.99,Checking,,Debit,TXN1044
3/27/2025,Google Ads,-593,Checking,,Debit,TXN1049
3/28/2025,Interest Income,52.29,Checking,,Credit,TXN1042
3/30/2025,Slack Subscription,-110.42,Checking,,Debit,TXN1048
4/3/2025,Interest Income,42.4,Checking,,Credit,TXN1057
4/4/2025,Stripe Payout,7095.86,Checking,,Credit,TXN1054
4/4/2025,Bank Fee,-36.82,Checking,,Debit,TXN1064
4/6/2025,Slack Subscription,-96.14,Checking,,Debit,TXN1060
4/7/2025,Office Depot,-45.97,Credit Card,,Debit,TXN1061
4/8/2025,Stripe Payout,6804.65,Checking,,Credit,TXN1056
4/8/2025,Slack Subscription,-67.04,Checking,,Debit,TXN1066
4/11/2025,Stripe Payout,2502.57,Checking,,Credit,TXN1053
4/11/2025,Payroll,-4166.35,Checking,,Debit,TXN1065
4/15/2025,Uber,-25.73,Credit Card,,Debit,TXN1063
4/22/2025,Stripe Payout,4509.11,Checking,,Credit,TXN1059
4/23/2025,Software Subscription,-137.92,Checking,,Debit,TXN1062
4/25/2025,Rent,-2151.54,Checking,,Debit,TXN1051
4/25/2025,Client Payment,4023.34,Checking,,Credit,TXN1058
4/27/2025,Client Payment,5475.91,Checking,,Credit,TXN1055
4/30/2025,Payroll,-2977.57,Checking,,Debit,TXN1052
5/2/2025,Stripe Payout,2803.3,Checking,,Credit,TXN1069
